Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
bʁyli,f,m,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('ʁ', {'f': 0.04552188888192177, 'm': 0.9544780850410461}), ('y', {'f': 0.08550407737493515, 'm': 0.9144959449768066}), ('l', {'f': 0.6333007216453552, 'm': 0.36669930815696716}), ('i', {'f': 0.5897836089134216, 'm': 0.41021642088890076})]",test,6
tiʁøz,f,f,"[('t', {'f': 0.19780629873275757, 'm': 0.8021937012672424}), ('i', {'f': 0.1596703678369522, 'm': 0.8403295874595642}), ('ʁ', {'f': 0.2956211268901825, 'm': 0.7043789029121399}), ('ø', {'f': 0.009915896691381931, 'm': 0.9900840520858765}), ('z', {'f': 0.999846339225769, 'm': 0.00015367606829386204})]",test,6
gənij,f,f,"[('g', {'f': 0.4099752604961395, 'm': 0.5900248289108276}), ('ə', {'f': 0.41169920563697815, 'm': 0.5883007645606995}), ('n', {'f': 0.4381515681743622, 'm': 0.5618484616279602}), ('i', {'f': 0.9315198063850403, 'm': 0.06848014146089554}), ('j', {'f': 0.9988558292388916, 'm': 0.0011441627284511924})]",test,6
bɛʁly,m,f,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('ɛ', {'f': 0.0039229243993759155, 'm': 0.9960771203041077}), ('ʁ', {'f': 0.06884635239839554, 'm': 0.9311536550521851}), ('l', {'f': 0.5744099617004395, 'm': 0.4255900979042053}), ('y', {'f': 0.022377170622348785, 'm': 0.9776228070259094})]",test,6
migal,m,f,"[('m', {'f': 0.06751084327697754, 'm': 0.9324891567230225}), ('i', {'f': 0.8790968656539917, 'm': 0.12090316414833069}), ('g', {'f': 0.6296533346176147, 'm': 0.37034672498703003}), ('a', {'f': 0.5401620268821716, 'm': 0.45983800292015076}), ('l', {'f': 0.12110678106546402, 'm': 0.878893256187439})]",test,6
sudaʁ,m,m,"[('s', {'f': 0.1635175347328186, 'm': 0.8364825248718262}), ('u', {'f': 0.08473443239927292, 'm': 0.9152656197547913}), ('d', {'f': 0.7625216245651245, 'm': 0.2374783456325531}), ('a', {'f': 0.3989098072052002, 'm': 0.6010901927947998}), ('ʁ', {'f': 0.0004883665824308991, 'm': 0.9995115995407104})]",test,6
fj1se,f,f,"[('f', {'f': 0.06725069880485535, 'm': 0.9327492713928223}), ('j', {'f': 0.601856529712677, 'm': 0.3981434106826782}), ('1', {'f': 0.00031832169042900205, 'm': 0.9996817111968994}), ('s', {'f': 0.9998056292533875, 'm': 0.00019442514167167246}), ('e', {'f': 0.85209721326828, 'm': 0.14790277183055878})]",test,6
ʁəpɛʁ,m,m,"[('ʁ', {'f': 0.19672420620918274, 'm': 0.8032758235931396}), ('ə', {'f': 0.9825954437255859, 'm': 0.017404574900865555}), ('p', {'f': 0.9337977766990662, 'm': 0.06620226800441742}), ('ɛ', {'f': 0.03688495606184006, 'm': 0.9631150960922241}), ('ʁ', {'f': 0.09168877452611923, 'm': 0.9083111882209778})]",test,6
apaʁt,m,m,"[('a', {'f': 0.42370525002479553, 'm': 0.5762947797775269}), ('p', {'f': 0.6076593995094299, 'm': 0.3923405706882477}), ('a', {'f': 0.19213467836380005, 'm': 0.8078652620315552}), ('ʁ', {'f': 0.00426650233566761, 'm': 0.9957335591316223}), ('t', {'f': 0.08672096580266953, 'm': 0.9132790565490723})]",test,6
1f1s2,m,m,"[('1', {'f': 6.138462049420923e-05, 'm': 0.9999386072158813}), ('f', {'f': 0.13211844861507416, 'm': 0.8678815364837646}), ('1', {'f': 0.0030797673389315605, 'm': 0.9969202280044556}), ('s', {'f': 0.9996449947357178, 'm': 0.0003549623361323029}), ('2', {'f': 0.22732718288898468, 'm': 0.7726728916168213})]",test,6
dʁOgɛ,m,m,"[('d', {'f': 0.6321474313735962, 'm': 0.3678525388240814}), ('ʁ', {'f': 0.10800781846046448, 'm': 0.8919921517372131}), ('O', {'f': 0.08262394368648529, 'm': 0.9173761010169983}), ('g', {'f': 0.35772162675857544, 'm': 0.6422783732414246}), ('ɛ', {'f': 0.0069717164151370525, 'm': 0.9930282235145569})]",test,6
uʁsɔn,f,f,"[('u', {'f': 0.032519444823265076, 'm': 0.9674805402755737}), ('ʁ', {'f': 0.030347000807523727, 'm': 0.9696530103683472}), ('s', {'f': 0.8014352917671204, 'm': 0.19856466352939606}), ('ɔ', {'f': 0.44448015093803406, 'm': 0.5555198788642883}), ('n', {'f': 0.5786483883857727, 'm': 0.4213516116142273})]",test,6
faʃøz,f,f,"[('f', {'f': 0.06725069880485535, 'm': 0.9327492713928223}), ('a', {'f': 0.016821475699543953, 'm': 0.9831785559654236}), ('ʃ', {'f': 0.847942590713501, 'm': 0.15205737948417664}), ('ø', {'f': 0.00021235882013570517, 'm': 0.9997876286506653}), ('z', {'f': 0.9999839067459106, 'm': 1.612874802958686e-05})]",test,6
aplik,m,f,"[('a', {'f': 0.42370525002479553, 'm': 0.5762947797775269}), ('p', {'f': 0.6076593995094299, 'm': 0.3923405706882477}), ('l', {'f': 0.11391391605138779, 'm': 0.886086106300354}), ('i', {'f': 0.7785704731941223, 'm': 0.2214295119047165}), ('k', {'f': 0.2018464207649231, 'm': 0.7981536388397217})]",test,6
s3tɛz,f,f,"[('s', {'f': 0.1635175347328186, 'm': 0.8364825248718262}), ('3', {'f': 0.002266238210722804, 'm': 0.9977337121963501}), ('t', {'f': 0.3607447147369385, 'm': 0.6392552852630615}), ('ɛ', {'f': 0.0029034961480647326, 'm': 0.9970965385437012}), ('z', {'f': 0.937606930732727, 'm': 0.06239301338791847})]",test,6
ʁəkuʁ,m,m,"[('ʁ', {'f': 0.19672420620918274, 'm': 0.8032758235931396}), ('ə', {'f': 0.9825954437255859, 'm': 0.017404574900865555}), ('k', {'f': 0.6501140594482422, 'm': 0.3498859107494354}), ('u', {'f': 0.003550780937075615, 'm': 0.9964492321014404}), ('ʁ', {'f': 0.019252846017479897, 'm': 0.9807471632957458})]",test,6
kuvøz,f,f,"[('k', {'f': 0.24599945545196533, 'm': 0.7540005445480347}), ('u', {'f': 0.004846679046750069, 'm': 0.9951533079147339}), ('v', {'f': 0.7707120776176453, 'm': 0.22928793728351593}), ('ø', {'f': 0.00018745232955552638, 'm': 0.9998125433921814}), ('z', {'f': 0.9998602867126465, 'm': 0.00013965324615128338})]",test,6
dɛʁbi,f,m,"[('d', {'f': 0.6321474313735962, 'm': 0.3678525388240814}), ('ɛ', {'f': 0.014187037013471127, 'm': 0.9858129620552063}), ('ʁ', {'f': 0.005576386582106352, 'm': 0.9944236874580383}), ('b', {'f': 0.13516800105571747, 'm': 0.8648320436477661}), ('i', {'f': 0.6156266927719116, 'm': 0.38437336683273315})]",test,6
siflɛ,m,m,"[('s', {'f': 0.1635175347328186, 'm': 0.8364825248718262}), ('i', {'f': 0.9349827170372009, 'm': 0.06501727551221848}), ('f', {'f': 0.00016505803796462715, 'm': 0.9998348951339722}), ('l', {'f': 0.0501728430390358, 'm': 0.9498271942138672}), ('ɛ', {'f': 0.001000046031549573, 'm': 0.9990000128746033})]",test,6
səkus,m,f,"[('s', {'f': 0.1635175347328186, 'm': 0.8364825248718262}), ('ə', {'f': 0.9978697299957275, 'm': 0.0021301957312971354}), ('k', {'f': 0.09241745620965958, 'm': 0.9075825810432434}), ('u', {'f': 0.003266638843342662, 'm': 0.9967334270477295}), ('s', {'f': 0.07357881963253021, 'm': 0.9264211058616638})]",test,6
1tʁɛd,m,f,"[('1', {'f': 6.138462049420923e-05, 'm': 0.9999386072158813}), ('t', {'f': 0.9825902581214905, 'm': 0.017409712076187134}), ('ʁ', {'f': 0.00740429013967514, 'm': 0.9925957322120667}), ('ɛ', {'f': 0.5116970539093018, 'm': 0.48830294609069824}), ('d', {'f': 0.04791633039712906, 'm': 0.9520836472511292})]",test,6
fyʁœʁ,m,f,"[('f', {'f': 0.06725069880485535, 'm': 0.9327492713928223}), ('y', {'f': 0.017240507528185844, 'm': 0.9827594757080078}), ('ʁ', {'f': 0.9986386895179749, 'm': 0.0013612493639811873}), ('œ', {'f': 0.4661874771118164, 'm': 0.5338125228881836}), ('ʁ', {'f': 0.04225560650229454, 'm': 0.9577443599700928})]",test,6
sysj2,f,f,"[('s', {'f': 0.1635175347328186, 'm': 0.8364825248718262}), ('y', {'f': 0.12456350773572922, 'm': 0.8754364252090454}), ('s', {'f': 0.0020899681840091944, 'm': 0.9979099631309509}), ('j', {'f': 0.9995428323745728, 'm': 0.0004571736208163202}), ('2', {'f': 0.9999514818191528, 'm': 4.856615123571828e-05})]",test,6
baliz,f,f,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('a', {'f': 0.3081269860267639, 'm': 0.6918730139732361}), ('l', {'f': 0.14598946273326874, 'm': 0.8540105223655701}), ('i', {'f': 0.585707426071167, 'm': 0.4142926037311554}), ('z', {'f': 0.9876165986061096, 'm': 0.012383410707116127})]",test,6
dʒiad,m,m,"[('d', {'f': 0.6321474313735962, 'm': 0.3678525388240814}), ('ʒ', {'f': 0.0025341904256492853, 'm': 0.9974658489227295}), ('i', {'f': 0.26363176107406616, 'm': 0.7363682389259338}), ('a', {'f': 0.6280120611190796, 'm': 0.3719879388809204}), ('d', {'f': 0.3957974910736084, 'm': 0.6042025089263916})]",test,6
ʃj3d1,m,m,"[('ʃ', {'f': 0.5980137586593628, 'm': 0.4019862115383148}), ('j', {'f': 0.22390468418598175, 'm': 0.7760953307151794}), ('3', {'f': 0.0013262104475870728, 'm': 0.9986737966537476}), ('d', {'f': 0.5860333442687988, 'm': 0.4139665961265564}), ('1', {'f': 5.2585642151825596e-06, 'm': 0.9999947547912598})]",test,6
tʁœst,m,m,"[('t', {'f': 0.19780629873275757, 'm': 0.8021937012672424}), ('ʁ', {'f': 0.032411497086286545, 'm': 0.967588484287262}), ('œ', {'f': 0.048972345888614655, 'm': 0.9510276913642883}), ('s', {'f': 0.0490889810025692, 'm': 0.9509110450744629}), ('t', {'f': 0.0008483972051180899, 'm': 0.9991515874862671})]",test,6
akite,f,m,"[('a', {'f': 0.42370525002479553, 'm': 0.5762947797775269}), ('k', {'f': 0.09522663801908493, 'm': 0.9047733545303345}), ('i', {'f': 0.10174299776554108, 'm': 0.8982569575309753}), ('t', {'f': 0.5266340374946594, 'm': 0.47336602210998535}), ('e', {'f': 0.9971097111701965, 'm': 0.0028903507627546787})]",test,6
ʁ2ʒœʁ,m,m,"[('ʁ', {'f': 0.19672420620918274, 'm': 0.8032758235931396}), ('2', {'f': 0.0004096475022379309, 'm': 0.9995903372764587}), ('ʒ', {'f': 0.9783180952072144, 'm': 0.0216818917542696}), ('œ', {'f': 0.5944881439208984, 'm': 0.40551185607910156}), ('ʁ', {'f': 0.04328469559550285, 'm': 0.9567152857780457})]",test,6
ʁ2pw3,m,m,"[('ʁ', {'f': 0.19672420620918274, 'm': 0.8032758235931396}), ('2', {'f': 0.0004096475022379309, 'm': 0.9995903372764587}), ('p', {'f': 0.8933882117271423, 'm': 0.10661176592111588}), ('w', {'f': 0.06092827022075653, 'm': 0.939071774482727}), ('3', {'f': 0.0007347537903115153, 'm': 0.9992652535438538})]",test,6
pusœʁ,m,m,"[('p', {'f': 0.5436950325965881, 'm': 0.45630499720573425}), ('u', {'f': 0.01944180764257908, 'm': 0.9805582165718079}), ('s', {'f': 0.03430020064115524, 'm': 0.9656997919082642}), ('œ', {'f': 0.30952370166778564, 'm': 0.6904763579368591}), ('ʁ', {'f': 0.011291475035250187, 'm': 0.98870849609375})]",test,6
fuʁaʒ,m,m,"[('f', {'f': 0.06725069880485535, 'm': 0.9327492713928223}), ('u', {'f': 0.016459258273243904, 'm': 0.9835407137870789}), ('ʁ', {'f': 0.14816439151763916, 'm': 0.8518356084823608}), ('a', {'f': 0.09888240694999695, 'm': 0.9011175632476807}), ('ʒ', {'f': 0.001105290837585926, 'm': 0.9988947510719299})]",test,6
bʁOʃɛ,m,m,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('ʁ', {'f': 0.04552188888192177, 'm': 0.9544780850410461}), ('O', {'f': 0.07046904414892197, 'm': 0.9295309782028198}), ('ʃ', {'f': 0.2401645928621292, 'm': 0.759835422039032}), ('ɛ', {'f': 0.000435798370745033, 'm': 0.9995642304420471})]",test,6
pusje,m,m,"[('p', {'f': 0.5436950325965881, 'm': 0.45630499720573425}), ('u', {'f': 0.01944180764257908, 'm': 0.9805582165718079}), ('s', {'f': 0.03430020064115524, 'm': 0.9656997919082642}), ('j', {'f': 0.9508369565010071, 'm': 0.049163054674863815}), ('e', {'f': 0.009384638629853725, 'm': 0.9906153678894043})]",test,6
baʁdo,m,m,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('a', {'f': 0.3081269860267639, 'm': 0.6918730139732361}), ('ʁ', {'f': 0.0008490675245411694, 'm': 0.9991508722305298}), ('d', {'f': 0.9200186729431152, 'm': 0.07998127490282059}), ('o', {'f': 0.04755544289946556, 'm': 0.9524445533752441})]",test,6
m3sœʁ,m,f,"[('m', {'f': 0.06751084327697754, 'm': 0.9324891567230225}), ('3', {'f': 0.0028403345495462418, 'm': 0.9971597194671631}), ('s', {'f': 0.13995708525180817, 'm': 0.8600429892539978}), ('œ', {'f': 0.15334494411945343, 'm': 0.846655011177063}), ('ʁ', {'f': 0.025749586522579193, 'm': 0.9742504358291626})]",test,6
kadʁ1,m,m,"[('k', {'f': 0.24599945545196533, 'm': 0.7540005445480347}), ('a', {'f': 0.4352145791053772, 'm': 0.564785361289978}), ('d', {'f': 0.9652785062789917, 'm': 0.034721553325653076}), ('ʁ', {'f': 0.05050095543265343, 'm': 0.9494990706443787}), ('1', {'f': 0.0002882343833334744, 'm': 0.9997116923332214})]",test,6
fʁigo,m,m,"[('f', {'f': 0.06725069880485535, 'm': 0.9327492713928223}), ('ʁ', {'f': 0.19530481100082397, 'm': 0.804695188999176}), ('i', {'f': 0.9917399883270264, 'm': 0.0082599688321352}), ('g', {'f': 0.8785322308540344, 'm': 0.12146778404712677}), ('o', {'f': 0.004441247321665287, 'm': 0.9955587387084961})]",test,6
guʁd3,m,m,"[('g', {'f': 0.4099752604961395, 'm': 0.5900248289108276}), ('u', {'f': 0.0045975022949278355, 'm': 0.995402455329895}), ('ʁ', {'f': 0.07506369799375534, 'm': 0.9249362945556641}), ('d', {'f': 0.9551578760147095, 'm': 0.04484213516116142}), ('3', {'f': 0.07198601961135864, 'm': 0.9280139803886414})]",test,6
masœʁ,m,m,"[('m', {'f': 0.06751084327697754, 'm': 0.9324891567230225}), ('a', {'f': 0.018651854246854782, 'm': 0.9813481569290161}), ('s', {'f': 0.2505750358104706, 'm': 0.749424934387207}), ('œ', {'f': 0.7830176949501038, 'm': 0.21698230504989624}), ('ʁ', {'f': 0.041237737983465195, 'm': 0.9587622880935669})]",test,6
bidas,m,m,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('i', {'f': 0.049066659063100815, 'm': 0.9509333372116089}), ('d', {'f': 0.22465762495994568, 'm': 0.7753424048423767}), ('a', {'f': 0.18869106471538544, 'm': 0.8113089203834534}), ('s', {'f': 0.19131390750408173, 'm': 0.8086860775947571})]",test,6
p1dyl,f,m,"[('p', {'f': 0.5436950325965881, 'm': 0.45630499720573425}), ('1', {'f': 0.00019285225425846875, 'm': 0.9998071789741516}), ('d', {'f': 0.420447438955307, 'm': 0.5795525312423706}), ('y', {'f': 0.01509857177734375, 'm': 0.9849013686180115}), ('l', {'f': 0.6241899728775024, 'm': 0.3758099377155304})]",test,6
madɛʁ,m,m,"[('m', {'f': 0.06751084327697754, 'm': 0.9324891567230225}), ('a', {'f': 0.018651854246854782, 'm': 0.9813481569290161}), ('d', {'f': 0.7212510108947754, 'm': 0.278749018907547}), ('ɛ', {'f': 0.03398379683494568, 'm': 0.9660161733627319}), ('ʁ', {'f': 0.0041239941492676735, 'm': 0.9958760142326355})]",test,6
maʒœʁ,m,m,"[('m', {'f': 0.06751084327697754, 'm': 0.9324891567230225}), ('a', {'f': 0.018651854246854782, 'm': 0.9813481569290161}), ('ʒ', {'f': 0.007611209060996771, 'm': 0.9923887848854065}), ('œ', {'f': 0.6112107038497925, 'm': 0.3887893259525299}), ('ʁ', {'f': 0.0023430888541042805, 'm': 0.9976569414138794})]",test,6
kOʃɔn,m,f,"[('k', {'f': 0.24599945545196533, 'm': 0.7540005445480347}), ('O', {'f': 0.033404409885406494, 'm': 0.9665956497192383}), ('ʃ', {'f': 0.37966448068618774, 'm': 0.6203355193138123}), ('ɔ', {'f': 0.0010356332641094923, 'm': 0.9989643096923828}), ('n', {'f': 0.004860507324337959, 'm': 0.995139479637146})]",test,6
liɲit,f,m,"[('l', {'f': 0.25989508628845215, 'm': 0.7401049137115479}), ('i', {'f': 0.5370855331420898, 'm': 0.4629144072532654}), ('ɲ', {'f': 0.5726913213729858, 'm': 0.4273087680339813}), ('i', {'f': 0.977351188659668, 'm': 0.02264883555471897}), ('t', {'f': 0.9537088871002197, 'm': 0.046291034668684006})]",test,6
paʁɔl,m,f,"[('p', {'f': 0.5436950325965881, 'm': 0.45630499720573425}), ('a', {'f': 0.4668958783149719, 'm': 0.5331040620803833}), ('ʁ', {'f': 0.009059424512088299, 'm': 0.9909405708312988}), ('ɔ', {'f': 0.20296572148799896, 'm': 0.7970342636108398}), ('l', {'f': 0.4488401710987091, 'm': 0.5511598587036133})]",test,6
babal,m,f,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('a', {'f': 0.3081269860267639, 'm': 0.6918730139732361}), ('b', {'f': 0.028416357934474945, 'm': 0.9715836048126221}), ('a', {'f': 0.07573988288640976, 'm': 0.924260139465332}), ('l', {'f': 0.051205676048994064, 'm': 0.9487942457199097})]",test,6
basil,m,m,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('a', {'f': 0.3081269860267639, 'm': 0.6918730139732361}), ('s', {'f': 0.20000724494457245, 'm': 0.7999927401542664}), ('i', {'f': 0.9372318983078003, 'm': 0.06276807934045792}), ('l', {'f': 0.0024378467351198196, 'm': 0.9975621700286865})]",test,6
pʁizm,m,m,"[('p', {'f': 0.5436950325965881, 'm': 0.45630499720573425}), ('ʁ', {'f': 0.03431466966867447, 'm': 0.9656853079795837}), ('i', {'f': 0.8211904168128967, 'm': 0.1788095235824585}), ('z', {'f': 0.9934065341949463, 'm': 0.006593437399715185}), ('m', {'f': 0.00026582321152091026, 'm': 0.9997342228889465})]",test,6
byvøz,f,f,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('y', {'f': 0.02784552052617073, 'm': 0.972154438495636}), ('v', {'f': 0.9449708461761475, 'm': 0.05502922832965851}), ('ø', {'f': 0.00509454682469368, 'm': 0.9949054718017578}), ('z', {'f': 0.9998899698257446, 'm': 0.00010997446224791929})]",test,6
2ksj2,f,f,"[('2', {'f': 0.0025774375535547733, 'm': 0.9974225759506226}), ('k', {'f': 0.45632290840148926, 'm': 0.5436770915985107}), ('s', {'f': 0.0026333066634833813, 'm': 0.997366726398468}), ('j', {'f': 0.9987119436264038, 'm': 0.0012881015427410603}), ('2', {'f': 0.9998694658279419, 'm': 0.0001305232581216842})]",test,6
ʁəsɛt,m,f,"[('ʁ', {'f': 0.19672420620918274, 'm': 0.8032758235931396}), ('ə', {'f': 0.9825954437255859, 'm': 0.017404574900865555}), ('s', {'f': 0.6364020705223083, 'm': 0.36359792947769165}), ('ɛ', {'f': 0.04528190568089485, 'm': 0.9547181129455566}), ('t', {'f': 0.08188015967607498, 'm': 0.9181199073791504})]",test,6
pat1t,f,f,"[('p', {'f': 0.5436950325965881, 'm': 0.45630499720573425}), ('a', {'f': 0.4668958783149719, 'm': 0.5331040620803833}), ('t', {'f': 0.04414837807416916, 'm': 0.9558516144752502}), ('1', {'f': 0.00033268891274929047, 'm': 0.9996672868728638}), ('t', {'f': 0.9503828883171082, 'm': 0.04961707442998886})]",test,6
kotɛʁ,m,m,"[('k', {'f': 0.24599945545196533, 'm': 0.7540005445480347}), ('o', {'f': 0.01549226138740778, 'm': 0.98450767993927}), ('t', {'f': 0.24341361224651337, 'm': 0.7565864324569702}), ('ɛ', {'f': 0.1001761257648468, 'm': 0.8998238444328308}), ('ʁ', {'f': 0.028327038511633873, 'm': 0.9716729521751404})]",test,6
fɔʁm1,m,m,"[('f', {'f': 0.06725069880485535, 'm': 0.9327492713928223}), ('ɔ', {'f': 0.0077677322551608086, 'm': 0.9922322034835815}), ('ʁ', {'f': 0.20850250124931335, 'm': 0.791497528553009}), ('m', {'f': 0.6222613453865051, 'm': 0.37773871421813965}), ('1', {'f': 0.0006829326157458127, 'm': 0.9993170499801636})]",test,6
d1siŋ,m,m,"[('d', {'f': 0.6321474313735962, 'm': 0.3678525388240814}), ('1', {'f': 3.477597056189552e-05, 'm': 0.9999651908874512}), ('s', {'f': 0.9990915060043335, 'm': 0.0009084961493499577}), ('i', {'f': 0.09344373643398285, 'm': 0.906556248664856}), ('ŋ', {'f': 0.0004695920506492257, 'm': 0.9995304346084595})]",test,6
byvaʁ,m,m,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('y', {'f': 0.02784552052617073, 'm': 0.972154438495636}), ('v', {'f': 0.9449708461761475, 'm': 0.05502922832965851}), ('a', {'f': 0.7007794976234436, 'm': 0.2992205321788788}), ('ʁ', {'f': 0.0011125410674139857, 'm': 0.9988874793052673})]",test,6
maʁɔt,m,f,"[('m', {'f': 0.06751084327697754, 'm': 0.9324891567230225}), ('a', {'f': 0.018651854246854782, 'm': 0.9813481569290161}), ('ʁ', {'f': 0.015227527357637882, 'm': 0.9847724437713623}), ('ɔ', {'f': 0.1885167807340622, 'm': 0.8114832043647766}), ('t', {'f': 0.018190782517194748, 'm': 0.9818091988563538})]",test,6
katɔd,f,f,"[('k', {'f': 0.24599945545196533, 'm': 0.7540005445480347}), ('a', {'f': 0.4352145791053772, 'm': 0.564785361289978}), ('t', {'f': 0.0747206062078476, 'm': 0.9252793788909912}), ('ɔ', {'f': 0.05716366693377495, 'm': 0.942836344242096}), ('d', {'f': 0.9245595932006836, 'm': 0.07544033229351044})]",test,6
bl1ʃ2,m,m,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('l', {'f': 0.12944234907627106, 'm': 0.8705576062202454}), ('1', {'f': 1.1564273336261977e-05, 'm': 0.9999884366989136}), ('ʃ', {'f': 0.9417572021484375, 'm': 0.058242782950401306}), ('2', {'f': 0.0014068016316741705, 'm': 0.9985931515693665})]",test,6
nikɛl,m,m,"[('n', {'f': 0.8944215774536133, 'm': 0.10557843744754791}), ('i', {'f': 0.46889570355415344, 'm': 0.5311042666435242}), ('k', {'f': 0.5987592935562134, 'm': 0.40124067664146423}), ('ɛ', {'f': 0.0009390157065354288, 'm': 0.9990610480308533}), ('l', {'f': 0.3641701638698578, 'm': 0.6358298659324646})]",test,6
mwano,m,m,"[('m', {'f': 0.06751084327697754, 'm': 0.9324891567230225}), ('w', {'f': 0.29519763588905334, 'm': 0.7048023343086243}), ('a', {'f': 0.20415747165679932, 'm': 0.7958425879478455}), ('n', {'f': 0.3608981668949127, 'm': 0.6391018629074097}), ('o', {'f': 0.026949435472488403, 'm': 0.973050594329834})]",test,6
akaʒu,m,m,"[('a', {'f': 0.42370525002479553, 'm': 0.5762947797775269}), ('k', {'f': 0.09522663801908493, 'm': 0.9047733545303345}), ('a', {'f': 0.25607338547706604, 'm': 0.7439265847206116}), ('ʒ', {'f': 0.0003684042894747108, 'm': 0.9996315240859985}), ('u', {'f': 0.09191963821649551, 'm': 0.9080803394317627})]",test,6
mEjœʁ,m,m,"[('m', {'f': 0.06751084327697754, 'm': 0.9324891567230225}), ('E', {'f': 0.30063095688819885, 'm': 0.6993690133094788}), ('j', {'f': 0.4999534785747528, 'm': 0.5000465512275696}), ('œ', {'f': 0.18077920377254486, 'm': 0.819220781326294}), ('ʁ', {'f': 0.03876880928874016, 'm': 0.9612312316894531})]",test,6
lOdɛn,m,m,"[('l', {'f': 0.25989508628845215, 'm': 0.7401049137115479}), ('O', {'f': 0.036709729582071304, 'm': 0.963290274143219}), ('d', {'f': 0.14903844892978668, 'm': 0.8509615659713745}), ('ɛ', {'f': 0.015172822400927544, 'm': 0.9848271608352661}), ('n', {'f': 0.03145177289843559, 'm': 0.9685482382774353})]",test,6
djakʁ,m,m,"[('d', {'f': 0.6321474313735962, 'm': 0.3678525388240814}), ('j', {'f': 0.47466886043548584, 'm': 0.5253311395645142}), ('a', {'f': 0.5762495994567871, 'm': 0.4237503707408905}), ('k', {'f': 0.03371940925717354, 'm': 0.9662805199623108}), ('ʁ', {'f': 0.002613768680021167, 'm': 0.9973862767219543})]",test,6
afly1,m,m,"[('a', {'f': 0.42370525002479553, 'm': 0.5762947797775269}), ('f', {'f': 0.19893784821033478, 'm': 0.8010621070861816}), ('l', {'f': 0.22914887964725494, 'm': 0.7708510756492615}), ('y', {'f': 0.025179754942655563, 'm': 0.9748202562332153}), ('1', {'f': 0.02420797199010849, 'm': 0.9757920503616333})]",test,6
gʁ1ʁy,m,f,"[('g', {'f': 0.4099752604961395, 'm': 0.5900248289108276}), ('ʁ', {'f': 0.005482302978634834, 'm': 0.9945177435874939}), ('1', {'f': 0.004656701348721981, 'm': 0.9953433275222778}), ('ʁ', {'f': 0.45064619183540344, 'm': 0.5493537783622742}), ('y', {'f': 0.40496793389320374, 'm': 0.5950320959091187})]",test,6
b3ʒw3,m,m,"[('b', {'f': 0.1400294452905655, 'm': 0.8599705696105957}), ('3', {'f': 0.0031405824702233076, 'm': 0.9968594312667847}), ('ʒ', {'f': 0.034583114087581635, 'm': 0.9654169082641602}), ('w', {'f': 0.11795590817928314, 'm': 0.8820440769195557}), ('3', {'f': 0.0023017313797026873, 'm': 0.9976982474327087})]",test,6
pajaʁ,m,m,"[('p', {'f': 0.5436950325965881, 'm': 0.45630499720573425}), ('a', {'f': 0.4668958783149719, 'm': 0.5331040620803833}), ('j', {'f': 0.6148511171340942, 'm': 0.38514894247055054}), ('a', {'f': 0.05386028438806534, 'm': 0.9461396932601929}), ('ʁ', {'f': 0.0028965850360691547, 'm': 0.9971033930778503})]",test,6
matos,m,m,"[('m', {'f': 0.06751084327697754, 'm': 0.9324891567230225}), ('a', {'f': 0.018651854246854782, 'm': 0.9813481569290161}), ('t', {'f': 0.011135184206068516, 'm': 0.9888647794723511}), ('o', {'f': 0.07533373683691025, 'm': 0.9246663451194763}), ('s', {'f': 0.014555457048118114, 'm': 0.9854446053504944})]",test,6
tʁipl,m,m,"[('t', {'f': 0.19780629873275757, 'm': 0.8021937012672424}), ('ʁ', {'f': 0.032411497086286545, 'm': 0.967588484287262}), ('i', {'f': 0.9967844486236572, 'm': 0.0032155411317944527}), ('p', {'f': 0.8798750042915344, 'm': 0.12012496590614319}), ('l', {'f': 0.18372130393981934, 'm': 0.8162786960601807})]",test,6
nOsœʁ,m,m,"[('n', {'f': 0.8944215774536133, 'm': 0.10557843744754791}), ('O', {'f': 0.04436929523944855, 'm': 0.9556306600570679}), ('s', {'f': 0.04977209493517876, 'm': 0.9502279162406921}), ('œ', {'f': 0.5939715504646301, 'm': 0.4060284495353699}), ('ʁ', {'f': 0.007460989058017731, 'm': 0.9925389885902405})]",test,6
1pʁ3t,m,f,"[('1', {'f': 6.138462049420923e-05, 'm': 0.9999386072158813}), ('p', {'f': 0.5985099673271179, 'm': 0.4014900028705597}), ('ʁ', {'f': 0.028824910521507263, 'm': 0.9711750745773315}), ('3', {'f': 0.007693368475884199, 'm': 0.992306649684906}), ('t', {'f': 0.08836162090301514, 'm': 0.9116383194923401})]",test,6
